Gutenberg ID;Deutscher Titel;Autor;Erkennungsgrund;Originaler Englischer Titel
51378;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Siebenter Band: enthaltend Kapitel 13 und 14.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
44238;Das Bildnis des Dorian Gray;Oscar Wilde;Englischer Autor (Oscar Wilde) mit Übersetzer-Metadaten.;The Picture of Dorian Gray
58145;Zwei Städte;Charles Dickens;Erkannt via Phrase: 'aus dem Englischen';A Tale of Two Cities
30237;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Dritter Band;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
31530;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Erster Band enthaltend Kapitel 1 und 2;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
30793;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Zweiter Band;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
36217;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten Fünfter Band (der 11);Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
47173;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Zehnter Band: enthaltend Kapitel 19 und 20.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
62233;Salome Tragödie in Einem Akt;Oscar Wilde;Englischer Autor (Oscar Wilde) mit Übersetzer-Metadaten.;Salome
7043;Der Kaufmann von Venedig;William Shakespeare;Englischer Autor (William Shakespeare) mit Übersetzer-Metadaten.;The Merchant of Venice
62578;Dhoula Bel Ein Rosenkreuzer-Roman;Paschal Beverly Randolph;Erkannt via Phrase: 'aus dem Englischen';Ravalette
22465;Der Weihnachtsabend Eine Geistergeschichte;Charles Dickens;Erkannt via Phrase: 'aus dem Englischen';A Christmas Carol
30331;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Vierter Band;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
47152;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Achter Band: enthaltend Kapitel 15 und 16.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
45956;Tagebuch eines bösen Buben;Metta Victoria Fuller Victor;Erkannt via Phrase: 'aus dem Englischen';A Bad Boys Diary,
65277;Die Pest zu London;Daniel Defoe;Englischer Autor (Daniel Defoe) mit Übersetzer-Metadaten.;A Journal of the Plague Year. Beeing Observations or Memorials, Of the most Remarkable Occurrences, As well Publick as Private, which happened in London During the last Great Visitation In 1665.
47174;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Elfter Band: enthaltend Kapitel 21 und 22.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
30165;Die Abenteuer Tom Sawyers;Mark Twain;Englischer Autor (Mark Twain) mit Übersetzer-Metadaten.;The Adventures of Tom Sawyer
31459;Onkel Tom's Hütte oder die Geschichte eines christlichen Sklaven. Band 1 (von 3).;Harriet Beecher Stowe;Erkannt via Phrase: 'aus dem Englischen';Uncle Tom’s Cabin
18101;The Life of Friedrich Schiller Introduction to German Translation;Johann Wolfgang von Goethe and Thomas Carlyle;Erkannt via Phrase: 'aus dem Englischen';The Life of Friedrich Schiller
47153;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Neunter Band: enthaltend Kapitel 17 und 18.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
19778;Alice's Abenteuer im Wunderland;Lewis Carroll;Erkannt via Phrase: 'aus dem Englischen';Alice’s Adventures in Wonderland
39562;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Sechster Band: enthaltend Kapitel 11 und 12;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
Gutenberg ID;Deutscher Titel;Autor;Erkennungsgrund;Originaler Englischer Titel
51378;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Siebenter Band: enthaltend Kapitel 13 und 14.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
44238;Das Bildnis des Dorian Gray;Oscar Wilde;Englischer Autor (Oscar Wilde) mit Übersetzer-Metadaten.;The Picture of Dorian Gray
58145;Zwei Städte;Charles Dickens;Erkannt via Phrase: 'aus dem Englischen';A Tale of Two Cities
30237;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Dritter Band;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
31530;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Erster Band enthaltend Kapitel 1 und 2;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
30793;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Zweiter Band;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
36217;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten Fünfter Band (der 11);Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
47173;Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Zehnter Band: enthaltend Kapitel 19 und 20.;Thomas Babington Macaulay;Erkannt via Phrase: 'aus dem Englischen';The History of England from the Accession of James II
62233;Salome Tragödie in Einem Akt;Oscar Wilde;Englischer Autor (Oscar Wilde) mit Übersetzer-Metadaten.;Salome
7043;Der Kaufmann von Venedig;William Shakespeare;Englischer Autor (William Shakespeare) mit Übersetzer-Metadaten.;The Merchant of Venice
62578;Dhoula Bel Ein Rosenkreuzer-Roman;Paschal Beverly Randolph;Erkannt via Phrase: 'aus dem Englischen';Ravalette
22465;Der Weihnachtsabend Eine Geistergeschichte;Charles Dickens;Erkannt via Phrase: 'aus dem Englischen';A Christmas Carol
